Posting Date,CustomerName,BILL TO STATE,Item/Service Description(sku),Segment,Basic Value,TOTAL COGS
03/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Tamil Nadu,SBW550 BK,45415Simpl (BIL Sigma Technologies Pvt Ltd)Tamil NaduSBW550 BK,"-8,507.63","-5,406.33"
03/05/2024,GOKWIK COMMERCE SOLUTIONS PRIVATE LIMITED,Kerala,BTW20 GR,45415GOKWIK COMMERCE SOLUTIONS PRIVATE LIMITEDKeralaBTW20 GR,-787.29,-588.97
03/05/2024,ONLINE PERFUMES PVT. LTD,Haryana,SBWL02 BK,45415ONLINE PERFUMES PVT. LTDHaryanaSBWL02 BK,"7,542.00","4,770.98"
03/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),West Bengal,BTW20 BK,45415Simpl (BIL Sigma Technologies Pvt Ltd)West BengalBTW20 BK,-787.3,-728.77
03/05/2024,FLIPKART MARKETPLACE (DELHI),Uttar Pradesh,SBA20-Pro-BK,45415FLIPKART MARKETPLACE (DELHI)Uttar PradeshSBA20-Pro-BK,"-1,439.83",-661.3
03/05/2024,CUSTOMER UNREGISTER,Haryana,BTW300-PLATINUM-BK,45415CUSTOMER UNREGISTERHaryanaBTW300-PLATINUM-BK,"2,450.00","1,473.25"
03/05/2024,FLIPKART MARKETPLACE (DELHI),Karnataka,BTW100 XTREME WH,45415FLIPKART MARKETPLACE (DELHI)KarnatakaBTW100 XTREME WH,"-1,100.85",-588.39
03/05/2024,FLIPKART MARKETPLACE (DELHI),Chattisgarh,BTW12-KHROME-BL,45415FLIPKART MARKETPLACE (DELHI)ChattisgarhBTW12-KHROME-BL,"-1,016.10",-611.8
03/05/2024,FLIPKART MARKETPLACE (DELHI),West Bengal,BTW12 KHROME BK,45415FLIPKART MARKETPLACE (DELHI)West BengalBTW12 KHROME BK,"-1,016.10",-673.02
03/05/2024,CUSTOMER UNREGISTER,Uttar Pradesh,BTW100 XTREME BK,45415CUSTOMER UNREGISTERUttar PradeshBTW100 XTREME BK,"-1,168.64",-634.19
03/05/2024,APPARIO RETAIL PRIVATE LIMITED,Haryana,SBA15-GM,45415APPARIO RETAIL PRIVATE LIMITEDHaryanaSBA15-GM,"-267,967.77","-205,535.61"
03/05/2024,FLIPKART MARKETPLACE (DELHI),Karnataka,BTW09 AIR BK,45415FLIPKART MARKETPLACE (DELHI)KarnatakaBTW09 AIR BK,-846.6,-443.63
03/05/2024,FLIPKART MARKETPLACE (DELHI),Madhya Pradesh,ATOMIK BB20 BK,45415FLIPKART MARKETPLACE (DELHI)Madhya PradeshATOMIK BB20 BK,"-1,609.30",-795.45
03/05/2024,FLIPKART MARKETPLACE (DELHI),Delhi,BTW12 KHROME WH,45415FLIPKART MARKETPLACE (DELHI)DelhiBTW12 KHROME WH,"-1,016.10",-652.61
03/05/2024,FLIPKART MARKETPLACE (DELHI),Jharkhand,SBA20 BK,45415FLIPKART MARKETPLACE (DELHI)JharkhandSBA20 BK,"-1,143.20",-610.91
03/05/2024,FLIPKART MARKETPLACE (DELHI),Odisha,ATOMIK BB20 BK,45415FLIPKART MARKETPLACE (DELHI)OdishaATOMIK BB20 BK,"-1,609.30",-795.45
03/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Delhi,EM01 TYPE C BK,45415Simpl (BIL Sigma Technologies Pvt Ltd)DelhiEM01 TYPE C BK,-478,-222.59
03/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Tamil Nadu,EM06 BK,45415Simpl (BIL Sigma Technologies Pvt Ltd)Tamil NaduEM06 BK,-266.1,-110.56
03/05/2024,FLIPKART MARKETPLACE (DELHI),Rajasthan,BTW12-KHROME-PL,45415FLIPKART MARKETPLACE (DELHI)RajasthanBTW12-KHROME-PL,"-1,016.10",-619.79
03/05/2024,FLIPKART MARKETPLACE (DELHI),Andhra Pradesh,SBW08 BK,45415FLIPKART MARKETPLACE (DELHI)Andhra PradeshSBW08 BK,"-8,050.00","-7,651.26"
03/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Uttar Pradesh,SBA15 BK,45415Simpl (BIL Sigma Technologies Pvt Ltd)Uttar PradeshSBA15 BK,-829.7,-546.99
03/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Punjab,SBA20 BK,45415Simpl (BIL Sigma Technologies Pvt Ltd)PunjabSBA20 BK,"-1,110.21",-634.97
03/05/2024,APPARIO RETAIL PRIVATE LIMITED,Haryana,SBA15-GM,45415APPARIO RETAIL PRIVATE LIMITEDHaryanaSBA15-GM,"267,967.77","204,992.97"
03/05/2024,FLIPKART MARKETPLACE (DELHI),Maharashtra,BTW12 KHROME WH,45415FLIPKART MARKETPLACE (DELHI)MaharashtraBTW12 KHROME WH,"-1,016.10",-652.61
03/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Punjab,SBA20-PRO-BK,45415Simpl (BIL Sigma Technologies Pvt Ltd)PunjabSBA20-PRO-BK,"-1,408.10",-692.54
03/05/2024,FLIPKART MARKETPLACE (DELHI),Mizoram,BTW09 AIR BK,45415FLIPKART MARKETPLACE (DELHI)MizoramBTW09 AIR BK,-846.61,-443.63
03/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Karnataka,BE100 BL,45415Simpl (BIL Sigma Technologies Pvt Ltd)KarnatakaBE100 BL,-908.94,-581.8
03/05/2024,PAYTM E-COMMERCE PVT. LTD-B2C,Punjab,SBA15 BK,45415PAYTM E-COMMERCE PVT. LTD-B2CPunjabSBA15 BK,-762.7,-546.99
03/05/2024,FLIPKART MARKETPLACE (DELHI),Gujarat,SBA20-KONCERT-BK,45415FLIPKART MARKETPLACE (DELHI)GujaratSBA20-KONCERT-BK,"-1,524.60",-732.69
03/05/2024,FLIPKART MARKETPLACE (DELHI),Andhra Pradesh,SBW08 BK,45415FLIPKART MARKETPLACE (DELHI)Andhra PradeshSBW08 BK,"-8,050.00","-7,651.26"
03/05/2024,CUSTOMER UNREGISTER,Kerala,SPR-BP-RMTSBW200,45415CUSTOMER UNREGISTERKeralaSPR-BP-RMTSBW200,381.36,58.3
03/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Haryana,BS-SAMPLE,45415ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHHaryanaBS-SAMPLE,"1,523.22","1,523.22"
03/05/2024,CUSTOMER UNREGISTER,Uttar Pradesh,BTW300-XTREME-BK,45415CUSTOMER UNREGISTERUttar PradeshBTW300-XTREME-BK,"1,439.83",711.54
03/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Maharashtra,SBA15 BK,45415Simpl (BIL Sigma Technologies Pvt Ltd)MaharashtraSBA15 BK,-829.7,-546.99
03/05/2024,CUSTOMER UNREGISTER,Haryana,SBA20-Pro-BK,45415CUSTOMER UNREGISTERHaryanaSBA20-Pro-BK,880,692.54
03/05/2024,ONLINE PERFUMES PVT. LTD,Haryana,SBW50 BK,45415ONLINE PERFUMES PVT. LTDHaryanaSBW50 BK,"4,953.00","3,184.00"
03/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Maharashtra,SPR-BP-MIC-PS30,45415ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHMaharashtraSPR-BP-MIC-PS30,"22,200.00","22,200.00"
03/05/2024,PAYTM E-COMMERCE PVT. LTD-B2C,Uttar Pradesh,SBA15-GM,45415PAYTM E-COMMERCE PVT. LTD-B2CUttar PradeshSBA15-GM,-872,-735
03/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Karnataka,SBWL02 BK,45415ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHKarnatakaSBWL02 BK,"47,709.80","47,709.80"
03/05/2024,ONLINE PERFUMES PVT. LTD,Haryana,BH21 BK,45415ONLINE PERFUMES PVT. LTDHaryanaBH21 BK,"1,864.00","1,167.00"
03/05/2024,Simpl (BIL Sigma Technologies Pvt Ltd),Rajasthan,BTW20 WH,45415Simpl (BIL Sigma Technologies Pvt Ltd)RajasthanBTW20 WH,-787.3,-730.11
03/05/2024,ONLINE PERFUMES PVT. LTD,Haryana,BTW01 BK,45415ONLINE PERFUMES PVT. LTDHaryanaBTW01 BK,"2,712.00","1,225.17"
03/05/2024,FLIPKART MARKETPLACE (DELHI),Rajasthan,BTW100 XTREME BK,45415FLIPKART MARKETPLACE (DELHI)RajasthanBTW100 XTREME BK,"-1,100.80",-631.01
03/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Maharashtra,SBW50 BK,45415ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHMaharashtraSBW50 BK,"12,736.00","12,736.00"
03/05/2024,ENVENT WORLDWIDE PRIVATE LIMITED - BRANCH,Delhi,SBW200 BK,45415ENVENT WORLDWIDE PRIVATE LIMITED - BRANCHDelhiSBW200 BK,"3,290.10","3,290.10"
03/05/2024,BHAWANI ENTERPRISE,Gujarat,ATOMIK BB20 BK,45415BHAWANI ENTERPRISEGujaratATOMIK BB20 BK,"104,880.00","60,454.20"
03/05/2024,MAX HYPERMARKET INDIA PVT LTD,Karnataka,ATOMIK BB20 BK,45415MAX HYPERMARKET INDIA PVT LTDKarnatakaATOMIK BB20 BK,"5,148.00","3,181.80"
03/05/2024,MAX HYPERMARKET INDIA PVT LTD,Karnataka,ATOMIK BB20 BK,45415MAX HYPERMARKET INDIA PVT LTDKarnatakaATOMIK BB20 BK,"5,148.00","3,181.80"
