Month,Posting Date,Category,CustomerName,,Ship-to Code,BILL TO STATE,Item/Service Description,Qty,Basic Value
May-2024,03/05/2024,Customer Sale,GOKWIK COMMERCE SOLUTIONS PRIVATE LIMITED,,,Kerala,BTW20 GR,-1,-787.29
May-2024,03/05/2024,Customer Sale,ONLINE PERFUMES PVT. LTD,,SHIP TO HARYANA,Haryana,SBWL02 BK,1,"7,542.00"
May-2024,03/05/2024,Customer Sale,Simpl (BIL Sigma Technologies Pvt Ltd),,,Tamil Nadu,SBW550 BK,-1,"-8,507.63"
May-2024,03/05/2024,Customer Sale,APPARIO RETAIL PRIVATE LIMITED,,FARRUKHNAGAR DED3,Haryana,SBA15-GM,-357,"-267,967.77"
May-2024,03/05/2024,Customer Sale,PAYTM E-COMMERCE PVT. LTD-B2C,,,Uttar Pradesh,SBA15-GM,-1,-872
May-2024,03/05/2024,Customer Sale,Simpl (BIL Sigma Technologies Pvt Ltd),,,Tamil Nadu,EM06 BK,-1,-266.1
May-2024,03/05/2024,Customer Sale,Simpl (BIL Sigma Technologies Pvt Ltd),,,Uttar Pradesh,SBA15 BK,-1,-829.7
May-2024,03/05/2024,Customer Sale,ONLINE PERFUMES PVT. LTD,,SHIP TO HARYANA,Haryana,SBW50 BK,1,"4,953.00"
May-2024,03/05/2024,Customer Sale,Simpl (BIL Sigma Technologies Pvt Ltd),,,Punjab,SBA20-PRO-BK,-1,"-1,408.10"
May-2024,03/05/2024,Customer Sale,Simpl (BIL Sigma Technologies Pvt Ltd),,,West Bengal,BTW20 BK,-1,-787.3
May-2024,03/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Gujarat,SBA20-KONCERT-BK,-1,"-1,524.60"
May-2024,03/05/2024,Customer Sale,CUSTOMER UNREGISTER,,Thomas Joseph,Kerala,SPR-BP-RMTSBW200,1,381.36
May-2024,03/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Odisha,ATOMIK BB20 BK,-1,"-1,609.30"
May-2024,03/05/2024,Customer Sale,Simpl (BIL Sigma Technologies Pvt Ltd),,,Punjab,SBA20 BK,-1,"-1,110.21"
May-2024,03/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Andhra Pradesh,SBW08 BK,-1,"-8,050.00"
May-2024,03/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,West Bengal,BTW12 KHROME BK,-1,"-1,016.10"
May-2024,03/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Karnataka,BTW100 XTREME WH,-1,"-1,100.85"
May-2024,03/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Rajasthan,BTW12-KHROME-PL,-1,"-1,016.10"
May-2024,03/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Madhya Pradesh,ATOMIK BB20 BK,-1,"-1,609.30"
May-2024,03/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Mizoram,BTW09 AIR BK,-1,-846.61
May-2024,03/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Andhra Pradesh,SBW08 BK,-1,"-8,050.00"
May-2024,03/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Delhi,BTW12 KHROME WH,-1,"-1,016.10"
May-2024,03/05/2024,Customer Sale,Simpl (BIL Sigma Technologies Pvt Ltd),,,Maharashtra,SBA15 BK,-1,-829.7
May-2024,03/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Maharashtra,BTW12 KHROME WH,-1,"-1,016.10"
May-2024,03/05/2024,Customer Sale,CUSTOMER UNREGISTER,,Guru Dutt Sharma,Uttar Pradesh,BTW300-XTREME-BK,1,"1,439.83"
May-2024,03/05/2024,Customer Sale,CUSTOMER UNREGISTER,,Sharad Chaudhary,Haryana,BTW300-PLATINUM-BK,1,"2,450.00"
May-2024,03/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Karnataka,BTW09 AIR BK,-1,-846.6
May-2024,03/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Rajasthan,BTW100 XTREME BK,-1,"-1,100.80"
May-2024,03/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Jharkhand,SBA20 BK,-1,"-1,143.20"
May-2024,03/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Uttar Pradesh,SBA20-Pro-BK,-1,"-1,439.83"
